File,Corrected,Rotation,Notes
"D:\DATA\midi\RagtimeSamp\test\Wrong Rag, The (Jenks) - Mezjuev.mid",'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Wild Cherries [song] - Pitt-Payne.mid,'4/4',0,
D:\DATA\midi\RagtimeSamp\test\When The Kaiser Does The Goose-Step... - Pitt-Payne.mid,'2/4',0,
"D:\DATA\midi\RagtimeSamp\test\When I Hear You Play That Piano, Bill! - Wilson.mid",'2/2',3%4,first beat should be upbeat
"D:\DATA\midi\RagtimeSamp\test\When I Hear You Play That Piano, Bill! - Wilson.mid",'2/2',3%4,"first beat should be upbeat, the 2/2 should probably be a 4/4 or the other way arround because this is a repetition"
D:\DATA\midi\RagtimeSamp\test\Way Down South (Clark) - Clawson ex Meloware.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Victory Rag (Scott) - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Uncle Fohley - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Treemonisha 22; Wrong Is Never Right - Davis.mid,'6/8',0,
D:\DATA\midi\RagtimeSamp\test\Top Liner Rag - Davis.mid,'2/4',0,
"D:\DATA\midi\RagtimeSamp\test\Thriller!, The - Pitt-Payne.mid",'2/4',0,
D:\DATA\midi\RagtimeSamp\test\They're Wearing 'Em Higher In Hawaii - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\They Called It The Dixie Blues - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\That Teasin' Rag [song] - Witherwax.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\That Ragtime Harmony Strain - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\That College Rag - Pitt-Payne.mid,'4/4',0,swing
"D:\DATA\midi\RagtimeSamp\test\Stinging Bee, The - Watanabe087.mid",'4/4',0,
D:\DATA\midi\RagtimeSamp\test\Silent Sam - Pitt-Payne.mid,'4/4',0,
D:\DATA\midi\RagtimeSamp\test\Sam's Laugh (vers 2) - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Rubber Plant Rag (Cobb) - unk ex Decker.mid,'2/4',0,swing
D:\DATA\midi\RagtimeSamp\test\Rose Blossoms - Roache.mid,'2/4',0,large tempo/timing deviations
D:\DATA\midi\RagtimeSamp\test\Rainbow (Wenrich) [song] - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Ragtime Temple Bells - Pitt-Payne.mid,'2/4',0,
"D:\DATA\midi\RagtimeSamp\test\Ragtime Betty, The (gtr) - Muromachi.mid",'4/4',0,written for guitar
D:\DATA\midi\RagtimeSamp\test\Possum And Taters - Pitt-Payne.mid,'4/4',0,
D:\DATA\midi\RagtimeSamp\test\Poison Rag - MacDonald.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Pleasant Moments - MacDonald.mid,'3/4',0,
D:\DATA\midi\RagtimeSamp\test\Pins And Needles (Hemley) - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Pegasus (Stirling) - Pitt-Payne.mid,'4/4',0,"This is clearly a 4/4, 2/4, or 2/2 played with swing"
D:\DATA\midi\RagtimeSamp\test\Peacherine Rag - Schemitsch.mid,'4/4',0,written for guitar
"D:\DATA\midi\RagtimeSamp\test\Peach, The - MacDonald.mid",'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Ozark Blues - Pitt-Payne.mid,'4/4',0,swing
D:\DATA\midi\RagtimeSamp\test\On Easy Street - MacDonald.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Odeon - Haley ex Cowles.mid,'2/4',0,rythmically complex
D:\DATA\midi\RagtimeSamp\test\Necromania Rag - Hiawatha ex Mathew.mid,'2/2',0,written for guitar
D:\DATA\midi\RagtimeSamp\test\My Ann Elizer - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Morrigan's Cakewalk - Radna.mid,'2/4',0,
"D:\DATA\midi\RagtimeSamp\test\Mississippi Dippy Dip, The - Pitt-Payne.mid",'4/4',0,
D:\DATA\midi\RagtimeSamp\test\Minor Stomp - Ford ex Mathew.mid,'4/4',0,
"D:\DATA\midi\RagtimeSamp\test\Maurice Tango, The - Pitt-Payne.mid",'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Maple Leaf Rag - Schemitsch1.mid,'4/4',0,written for guitar
D:\DATA\midi\RagtimeSamp\test\Ma Rainbow Coon - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Lobster Rag - Radna.mid,'2/4',0,
